"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
40001,0.134406057224633,1.66658031980093,10,"0","1",0,0,"0","3",4,"0","1"
40003,0.0638586187627095,1.07669514495094,10,"0","1",0,0,"1","1",4,"0","1"
40005,-0.0682021372694019,-0.0275360484306573,6,"0","0",0,0,"1","1",3,"0","0"
40007,0.0634719326019396,1.07346185344481,10,"0","1",0,0,"1","1",4,"0","1"
40009,-0.0235822026169649,0.345555285969161,8,"0","0",0,0,"1","1",3,"0","0"
40011,-0.0658842495195912,-0.0081549390609989,6,"0","0",0,0,"1","1",3,"0","0"
40013,-0.020942177827772,0.367629956833673,8,"0","0",0,0,"1","1",3,"0","0"
40015,0.0108696860361198,0.633626104770132,9,"0","0",0,0,"1","1",4,"0","1"
40017,-0.0418755373815966,0.192594849538171,7,"0","0",0,0,"1","1",3,"0","0"
40019,-0.1053706971599,-0.338322420380399,4,"0","0",0,0,"0","3",2,"0","0"
40021,-0.0508369291747328,0.117663820431472,7,"0","0",0,0,"1","1",3,"0","0"
40023,-0.0407290639574887,0.20218113205934,7,"0","0",0,0,"1","1",3,"0","0"
40025,-0.0411045399514456,0.199041574802888,7,"0","0",0,0,"1","1",3,"0","0"
40027,-0.0858644129957602,-0.175219859951538,5,"0","0",0,0,"1","1",2,"0","0"
40029,-0.0818720787605331,-0.141837800591897,5,"0","0",0,0,"1","1",2,"0","0"
40031,-0.0898787613253716,-0.208785991025166,5,"0","0",0,0,"1","1",2,"0","0"
40033,0.0125674330106592,0.647821882714185,9,"0","0",0,0,"1","1",4,"0","1"
40035,-0.00700249616788773,0.484187152000046,8,"0","0",0,0,"1","1",4,"0","1"
40037,-0.0881261274102313,-0.194131273773616,5,"0","0",0,0,"1","1",2,"0","0"
40039,0.0286502806956255,0.78229924469314,9,"0","0",0,0,"1","1",4,"0","1"
40041,-0.00870893350702616,0.469918709231404,8,"0","0",0,0,"1","1",4,"0","1"
40043,0.0552602613514672,1.00479964207324,9,"0","0",0,0,"1","1",4,"0","1"
40045,0.0610418915547399,1.05314296987835,10,"0","1",0,0,"1","1",4,"0","1"
